# Copyright (C) 1991-2014 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.4 Build 182 03/12/2014 SJ Full Version
# File: D:\uni\Lehre\SystemOnaChip\VHDL\CycloneV_GX_pin_assignments.csv
# Generated on: Tue Mar 25 07:56:25 2014

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
I2C_SCL,Unknown,PIN_B7,8A,B8A_N0,,2.5 V,,,,,,,,,,,,
I2C_SDA,Unknown,PIN_G11,7A,B7A_N0,,2.5 V,,,,,,,,,,,,
SD_CLK,Unknown,PIN_AB6,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
SD_CMD,Unknown,PIN_W8,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
SD_DAT[3],Unknown,PIN_T8,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
SD_DAT[2],Unknown,PIN_V8,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
SD_DAT[1],Unknown,PIN_T7,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
SD_DAT[0],Unknown,PIN_U7,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
SRAM_CE_n,Unknown,PIN_N23,6A,B6A_N0,,3.3-V LVTTL,,,,,,,,,,,,
SRAM_LB_n,Unknown,PIN_H25,6A,B6A_N0,,3.3-V LVTTL,,,,,,,,,,,,
SRAM_OE_n,Unknown,PIN_M22,6A,B6A_N0,,3.3-V LVTTL,,,,,,,,,,,,
SRAM_UB_n,Unknown,PIN_M25,6A,B6A_N0,,3.3-V LVTTL,,,,,,,,,,,,
SRAM_WE_n,Unknown,PIN_G25,6A,B6A_N0,,3.3-V LVTTL,,,,,,,,,,,,
DDR2LP_CA[0],Unknown,PIN_AE6,3B,B3B_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_CA[1],Unknown,PIN_AF6,3B,B3B_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_CA[2],Unknown,PIN_AF7,3B,B3B_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_CA[3],Unknown,PIN_AF8,3B,B3B_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_CA[4],Unknown,PIN_U10,3B,B3B_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_CA[5],Unknown,PIN_U11,3B,B3B_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_CA[6],Unknown,PIN_AE9,3B,B3B_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_CA[7],Unknown,PIN_AF9,3B,B3B_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_CA[8],Unknown,PIN_AB12,3B,B3B_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_CA[9],Unknown,PIN_AB11,3B,B3B_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_CKE[0],Unknown,PIN_AF14,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_CKE[1],Unknown,PIN_AE13,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_CK_n,Unknown,PIN_P10,3B,B3B_N0,,Differential 1.2-V HSUL,,,,DDR2LP_CK_p,,,,,,,,
DDR2LP_CK_p,Unknown,PIN_N10,3B,B3B_N0,,Differential 1.2-V HSUL,,,,DDR2LP_CK_n,,,,,,,,
DDR2LP_CS_n[0],Unknown,PIN_R11,3B,B3B_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_CS_n[1],Unknown,PIN_T11,3B,B3B_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DM[0],Unknown,PIN_AF11,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DM[1],Unknown,PIN_AE18,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DM[2],Unknown,PIN_AE20,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DM[3],Unknown,PIN_AE24,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[0],Unknown,PIN_AA14,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[1],Unknown,PIN_Y14,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[2],Unknown,PIN_AD11,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[3],Unknown,PIN_AD12,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[4],Unknown,PIN_Y13,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[5],Unknown,PIN_W12,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[6],Unknown,PIN_AD10,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[7],Unknown,PIN_AF12,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[8],Unknown,PIN_AC15,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[9],Unknown,PIN_AB15,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[10],Unknown,PIN_AC14,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[11],Unknown,PIN_AF13,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[12],Unknown,PIN_AB16,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[13],Unknown,PIN_AA16,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[14],Unknown,PIN_AE14,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[15],Unknown,PIN_AF18,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[16],Unknown,PIN_AD16,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[17],Unknown,PIN_AD17,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[18],Unknown,PIN_AC18,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[19],Unknown,PIN_AF19,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[20],Unknown,PIN_AC17,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[21],Unknown,PIN_AB17,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[22],Unknown,PIN_AF21,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[23],Unknown,PIN_AE21,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[24],Unknown,PIN_AE15,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[25],Unknown,PIN_AE16,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[26],Unknown,PIN_AC20,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[27],Unknown,PIN_AD21,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[28],Unknown,PIN_AF16,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[29],Unknown,PIN_AF17,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[30],Unknown,PIN_AD23,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQ[31],Unknown,PIN_AF23,4A,B4A_N0,,1.2-V HSUL,,,,,,,,,,,,
DDR2LP_DQS_n[0],Unknown,PIN_W13,4A,B4A_N0,,Differential 1.2-V HSUL,,,,DDR2LP_DQS_p[0],,,,,,,,
DDR2LP_DQS_n[1],Unknown,PIN_V14,4A,B4A_N0,,Differential 1.2-V HSUL,,,,DDR2LP_DQS_p[1],,,,,,,,
DDR2LP_DQS_n[2],Unknown,PIN_W15,4A,B4A_N0,,Differential 1.2-V HSUL,,,,DDR2LP_DQS_p[2],,,,,,,,
DDR2LP_DQS_n[3],Unknown,PIN_W17,4A,B4A_N0,,Differential 1.2-V HSUL,,,,DDR2LP_DQS_p[3],,,,,,,,
DDR2LP_DQS_p[0],Unknown,PIN_V13,4A,B4A_N0,,Differential 1.2-V HSUL,,,,DDR2LP_DQS_n[0],,,,,,,,
DDR2LP_DQS_p[1],Unknown,PIN_U14,4A,B4A_N0,,Differential 1.2-V HSUL,,,,DDR2LP_DQS_n[1],,,,,,,,
DDR2LP_DQS_p[2],Unknown,PIN_V15,4A,B4A_N0,,Differential 1.2-V HSUL,,,,DDR2LP_DQS_n[2],,,,,,,,
DDR2LP_DQS_p[3],Unknown,PIN_W16,4A,B4A_N0,,Differential 1.2-V HSUL,,,,DDR2LP_DQS_n[3],,,,,,,,
DDR2LP_OCT_RZQ,Unknown,PIN_AE11,4A,B4A_N0,,1.2 V,,,,,,,,,,,,
GPIO[0],Unknown,PIN_T21,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[1],Unknown,PIN_D26,6A,B6A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[2],Unknown,PIN_K25,6A,B6A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[3],Unknown,PIN_E26,6A,B6A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[4],Unknown,PIN_K26,6A,B6A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[5],Unknown,PIN_M26,6A,B6A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[6],Unknown,PIN_M21,6A,B6A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[7],Unknown,PIN_P20,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[8],Unknown,PIN_T22,5B,B5B_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[9],Unknown,PIN_T19,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[10],Unknown,PIN_U19,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[11],Unknown,PIN_U22,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[12],Unknown,PIN_P8,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[13],Unknown,PIN_R8,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[14],Unknown,PIN_R9,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[15],Unknown,PIN_R10,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[16],Unknown,PIN_F26,6A,B6A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[17],Unknown,PIN_Y9,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[18],Unknown,PIN_G26,6A,B6A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[19],Unknown,PIN_Y8,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[20],Unknown,PIN_AA7,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[21],Unknown,PIN_AA6,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[22],Unknown,PIN_AD7,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[23],Unknown,PIN_AD6,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[24],Unknown,PIN_U20,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[25],Unknown,PIN_V22,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[26],Unknown,PIN_V20,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[27],Unknown,PIN_W21,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[28],Unknown,PIN_W20,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[29],Unknown,PIN_Y24,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[30],Unknown,PIN_Y23,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[31],Unknown,PIN_AA23,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[32],Unknown,PIN_AA22,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[33],Unknown,PIN_AC24,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[34],Unknown,PIN_AC23,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
GPIO[35],Unknown,PIN_AC22,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,
HSMC_GXB_RX_p[0],Unknown,PIN_AD2,B0L,,,1.5-V PCML,,,,HSMC_GXB_RX_p[0](n),,,,,,,,
HSMC_GXB_RX_p[0](n),Unknown,PIN_AD1,B0L,,,1.5-V PCML,,,,HSMC_GXB_RX_p[0],,,,,,,,
HSMC_GXB_RX_p[1],Unknown,PIN_AB2,B0L,,,1.5-V PCML,,,,HSMC_GXB_RX_p[1](n),,,,,,,,
HSMC_GXB_RX_p[1](n),Unknown,PIN_AB1,B0L,,,1.5-V PCML,,,,HSMC_GXB_RX_p[1],,,,,,,,
HSMC_GXB_RX_p[2],Unknown,PIN_Y2,B0L,,,1.5-V PCML,,,,HSMC_GXB_RX_p[2](n),,,,,,,,
HSMC_GXB_RX_p[2](n),Unknown,PIN_Y1,B0L,,,1.5-V PCML,,,,HSMC_GXB_RX_p[2],,,,,,,,
HSMC_GXB_RX_p[3],Unknown,PIN_V2,B1L,,,1.5-V PCML,,,,HSMC_GXB_RX_p[3](n),,,,,,,,
HSMC_GXB_RX_p[3](n),Unknown,PIN_V1,B1L,,,1.5-V PCML,,,,HSMC_GXB_RX_p[3],,,,,,,,
HSMC_GXB_TX_p[0],Unknown,PIN_AE4,B0L,,,1.5-V PCML,,,,HSMC_GXB_TX_p[0](n),,,,,,,,
HSMC_GXB_TX_p[0](n),Unknown,PIN_AE3,B0L,,,1.5-V PCML,,,,HSMC_GXB_TX_p[0],,,,,,,,
HSMC_GXB_TX_p[1],Unknown,PIN_AC4,B0L,,,1.5-V PCML,,,,HSMC_GXB_TX_p[1](n),,,,,,,,
HSMC_GXB_TX_p[1](n),Unknown,PIN_AC3,B0L,,,1.5-V PCML,,,,HSMC_GXB_TX_p[1],,,,,,,,
HSMC_GXB_TX_p[2],Unknown,PIN_AA4,B0L,,,1.5-V PCML,,,,HSMC_GXB_TX_p[2](n),,,,,,,,
HSMC_GXB_TX_p[2](n),Unknown,PIN_AA3,B0L,,,1.5-V PCML,,,,HSMC_GXB_TX_p[2],,,,,,,,
HSMC_GXB_TX_p[3],Unknown,PIN_W4,B1L,,,1.5-V PCML,,,,HSMC_GXB_TX_p[3](n),,,,,,,,
HSMC_GXB_TX_p[3](n),Unknown,PIN_W3,B1L,,,1.5-V PCML,,,,HSMC_GXB_TX_p[3],,,,,,,,
REFCLK_p0,Unknown,PIN_V6,B0L,,,1.5-V PCML,,,,REFCLK_p0(n),,,,,,,,
REFCLK_p0(n),Unknown,PIN_W6,B0L,,,1.5-V PCML,,,,REFCLK_p0,,,,,,,,
REFCLK_p1,Unknown,PIN_N7,B1L,,,1.5-V PCML,,,,REFCLK_p1(n),,,,,,,,
REFCLK_p1(n),Unknown,PIN_P6,B1L,,,1.5-V PCML,,,,REFCLK_p1,,,,,,,,
SMA_GXB_RX_p,Unknown,PIN_M2,B1L,,,1.5-V PCML,,,,SMA_GXB_RX_p(n),,,,,,,,
SMA_GXB_RX_p(n),Unknown,PIN_M1,B1L,,,1.5-V PCML,,,,SMA_GXB_RX_p,,,,,,,,
SMA_GXB_TX_p,Unknown,PIN_K2,B1L,,,1.5-V PCML,,,,SMA_GXB_TX_p(n),,,,,,,,
SMA_GXB_TX_p(n),Unknown,PIN_K1,B1L,,,1.5-V PCML,,,,SMA_GXB_TX_p,,,,,,,,
KEY_CPU_RESET_n,Unknown,PIN_AB24,5A,B5A_N0,,,,,,,,,,,,,,
HSMC_RX_N[1],Unknown,PIN_L11,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[0],Unknown,PIN_M12,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[16],Unknown,PIN_A24,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[15],Unknown,PIN_D20,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[14],Unknown,PIN_E19,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[13],Unknown,PIN_D17,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[12],Unknown,PIN_D16,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[11],Unknown,PIN_D15,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[10],Unknown,PIN_D13,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[9],Unknown,PIN_E15,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[8],Unknown,PIN_F18,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[7],Unknown,PIN_F12,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[6],Unknown,PIN_G17,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[5],Unknown,PIN_J11,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[4],Unknown,PIN_J16,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[3],Unknown,PIN_K11,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_N[2],Unknown,PIN_H17,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[16],Unknown,PIN_B24,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[15],Unknown,PIN_D21,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[14],Unknown,PIN_E20,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[13],Unknown,PIN_D18,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[12],Unknown,PIN_E16,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[11],Unknown,PIN_C14,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[10],Unknown,PIN_E13,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[9],Unknown,PIN_F16,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[8],Unknown,PIN_E18,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[7],Unknown,PIN_G12,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[6],Unknown,PIN_G16,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[5],Unknown,PIN_J12,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[4],Unknown,PIN_H15,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[3],Unknown,PIN_L12,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[2],Unknown,PIN_H18,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[1],Unknown,PIN_M11,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_RX_P[0],Unknown,PIN_N12,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[12],Unknown,PIN_B14,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[11],Unknown,PIN_C22,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[10],Unknown,PIN_A13,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[9],Unknown,PIN_A9,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[8],Unknown,PIN_C12,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[7],Unknown,PIN_A21,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[6],Unknown,PIN_C15,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[5],Unknown,PIN_B19,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[4],Unknown,PIN_A11,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[3],Unknown,PIN_B11,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[2],Unknown,PIN_C10,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[1],Unknown,PIN_B9,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[0],Unknown,PIN_E11,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[16],Unknown,PIN_B20,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[15],Unknown,PIN_C18,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[14],Unknown,PIN_B17,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_N[13],Unknown,PIN_A22,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[16],Unknown,PIN_B21,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[15],Unknown,PIN_C19,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[14],Unknown,PIN_C17,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[13],Unknown,PIN_A23,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[12],Unknown,PIN_A14,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[11],Unknown,PIN_C23,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[10],Unknown,PIN_B12,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[9],Unknown,PIN_A8,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[8],Unknown,PIN_C13,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[7],Unknown,PIN_B22,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[6],Unknown,PIN_B15,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[5],Unknown,PIN_C20,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[4],Unknown,PIN_B10,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[3],Unknown,PIN_A12,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[2],Unknown,PIN_D10,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[1],Unknown,PIN_C9,7A,B7A_N0,,,,,,,,,,,,,,
HSMC_TX_P[0],Unknown,PIN_E10,7A,B7A_N0,,,,,,,,,,,,,,
CLOCK_125_n,Unknown,PIN_V12,4A,B4A_N0,,,,,,,,,,,,,,
LCD_DQ[7],Bidir,PIN_E26,6A,B6A_N0,PIN_E26,3.3-V LVTTL,,,,,,,,,,,,
LCD_DQ[6],Bidir,PIN_K26,6A,B6A_N0,PIN_K26,3.3-V LVTTL,,,,,,,,,,,,
LCD_DQ[5],Bidir,PIN_M26,6A,B6A_N0,PIN_M26,3.3-V LVTTL,,,,,,,,,,,,
LCD_DQ[4],Bidir,PIN_M21,6A,B6A_N0,PIN_M21,3.3-V LVTTL,,,,,,,,,,,,
LCD_DQ[3],Bidir,PIN_P20,5B,B5B_N0,PIN_P20,3.3-V LVTTL,,,,,,,,,,,,
LCD_DQ[2],Bidir,PIN_T22,5B,B5B_N0,PIN_T22,3.3-V LVTTL,,,,,,,,,,,,
LCD_DQ[1],Bidir,PIN_T19,5A,B5A_N0,PIN_T19,3.3-V LVTTL,,,,,,,,,,,,
LCD_DQ[0],Bidir,PIN_U19,5A,B5A_N0,PIN_U19,3.3-V LVTTL,,,,,,,,,,,,
LCD_EN,Output,PIN_R9,3A,B3A_N0,PIN_R9,3.3-V LVTTL,,,,,,,,,,,,
LCD_RS,Output,PIN_F26,6A,B6A_N0,PIN_F26,3.3-V LVTTL,,,,,,,,,,,,
LCD_RW,Output,PIN_R10,3A,B3A_N0,PIN_R10,3.3-V LVTTL,,,,,,,,,,,,
